SOCCode	Dgroup	average_scale	tot_emp	major_occ	annual_earnings	scale_rank	SOCTitle	jobzone	type
00-0000	Work setting	38.101325215		All occ	41024.302422	3	All occupations	3	0
00-0000	Work setting	57.69193274		All occ	59310.707676	0	All occupations	4	0
00-0000	Work setting	49.387907713		All occ	75636.816701	1	All occupations	4	0
00-0000	Work setting	44.388940324		All occ	64627.302899	2	All occupations	4	0
00-0000	Work setting	39.292058585		All occ	77841.996001	3	All occupations	4	0
00-0000	Work setting	50.93552621		All occ	90138.926415	0	All occupations	5	0
00-0000	Work setting	44.501564694		All occ	92326.936508	1	All occupations	5	0
00-0000	Work setting	41.200770285		All occ	95047.723662	2	All occupations	5	0
00-0000	Work setting	37.785225787		All occ	71056.29763	3	All occupations	5	0
11-0000	Body positioning	41.723076923	6936990	Management	98560	2	Management		2
11-0000	Communications	85.482051282	6936990	Management	98560	0	Management		2
11-0000	Competition and pace and scheduling	58.914102564	6936990	Management	98560	1	Management		2
11-0000	Conflictual contact	54.188461538	6936990	Management	98560	1	Management		2
11-0000	Criticality	78.276923077	6936990	Management	98560	0	Management		2
11-0000	Environmental conditions	37.274358974	6936990	Management	98560	2	Management		2
11-0000	Job hazards and work attire	32.033653846	6936990	Management	98560	2	Management		2
11-0000	Job interactions and responsibility for others	78.506923077	6936990	Management	98560	0	Management		2
11-0000	Routine vs challenging	68.667307692	6936990	Management	98560	1	Management		2
11-0000	Work setting	51.104945055	6936990	Management	98560	1	Management		2
11-1011	Body positioning	38.866666667	238940	Management	175110	2	Chief Executives	5	1
11-1011	Communications	88.683333333	238940	Management	175110	0	Chief Executives	5	1
11-1011	Competition and pace and scheduling	60.9	238940	Management	175110	0	Chief Executives	5	1
11-1011	Conflictual contact	52.233333333	238940	Management	175110	1	Chief Executives	5	1
11-1011	Criticality	81.075	238940	Management	175110	0	Chief Executives	5	1
11-1011	Environmental conditions	35.783333333	238940	Management	175110	1	Chief Executives	5	1
11-1011	Job hazards and work attire	29.775	238940	Management	175110	1	Chief Executives	5	1
11-1011	Job interactions and responsibility for others	80.48	238940	Management	175110	0	Chief Executives	5	1
11-1011	Routine vs challenging	66.975	238940	Management	175110	1	Chief Executives	5	1
11-1011	Work setting	50.471428571	238940	Management	175110	0	Chief Executives	5	1
11-1021	Body positioning	42.6	2145140	Management	97730	1	General and Operations Managers	4	1
11-1021	Communications	87.8	2145140	Management	97730	0	General and Operations Managers	4	1
11-1021	Competition and pace and scheduling	61.733333333	2145140	Management	97730	0	General and Operations Managers	4	1
11-1021	Conflictual contact	57.4	2145140	Management	97730	0	General and Operations Managers	4	1
11-1021	Criticality	85.65	2145140	Management	97730	0	General and Operations Managers	4	1
11-1021	Environmental conditions	37.966666667	2145140	Management	97730	1	General and Operations Managers	4	1
11-1021	Job hazards and work attire	36.975	2145140	Management	97730	1	General and Operations Managers	4	1
11-1021	Job interactions and responsibility for others	88.44	2145140	Management	97730	0	General and Operations Managers	4	1
11-1021	Routine vs challenging	73.25	2145140	Management	97730	0	General and Operations Managers	4	1
11-1021	Work setting	48.542857143	2145140	Management	97730	1	General and Operations Managers	4	1
11-2011	Body positioning	42.755555556	29340	Management	95890	1	Advertising and Promotions Managers	4	1
11-2011	Communications	83.6	29340	Management	95890	1	Advertising and Promotions Managers	4	1
11-2011	Competition and pace and scheduling	64.8	29340	Management	95890	0	Advertising and Promotions Managers	4	1
11-2011	Conflictual contact	46.4	29340	Management	95890	2	Advertising and Promotions Managers	4	1
11-2011	Criticality	72.1	29340	Management	95890	2	Advertising and Promotions Managers	4	1
11-2011	Environmental conditions	29.5	29340	Management	95890	3	Advertising and Promotions Managers	4	1
11-2011	Job hazards and work attire	22.2	29340	Management	95890	3	Advertising and Promotions Managers	4	1
11-2011	Job interactions and responsibility for others	70.16	29340	Management	95890	2	Advertising and Promotions Managers	4	1
11-2011	Routine vs challenging	70.35	29340	Management	95890	1	Advertising and Promotions Managers	4	1
11-2011	Work setting	44.257142857	29340	Management	95890	2	Advertising and Promotions Managers	4	1
11-2021	Body positioning	40.288888889	192890	Management	128750	2	Marketing Managers	4	1
11-2021	Communications	87.2	192890	Management	128750	0	Marketing Managers	4	1
11-2021	Competition and pace and scheduling	61.2	192890	Management	128750	0	Marketing Managers	4	1
11-2021	Conflictual contact	47.2	192890	Management	128750	1	Marketing Managers	4	1
11-2021	Criticality	77.15	192890	Management	128750	1	Marketing Managers	4	1
11-2021	Environmental conditions	30	192890	Management	128750	2	Marketing Managers	4	1
11-2021	Job hazards and work attire	23.575	192890	Management	128750	2	Marketing Managers	4	1
11-2021	Job interactions and responsibility for others	77.96	192890	Management	128750	0	Marketing Managers	4	1
11-2021	Routine vs challenging	66.6	192890	Management	128750	2	Marketing Managers	4	1
11-2021	Work setting	43.571428571	192890	Management	128750	2	Marketing Managers	4	1
11-2022	Body positioning	37.266666667	364750	Management	113860	3	Sales Managers	4	1
11-2022	Communications	87.3	364750	Management	113860	0	Sales Managers	4	1
11-2022	Competition and pace and scheduling	63.466666667	364750	Management	113860	0	Sales Managers	4	1
11-2022	Conflictual contact	52	364750	Management	113860	1	Sales Managers	4	1
11-2022	Criticality	71.45	364750	Management	113860	2	Sales Managers	4	1
11-2022	Environmental conditions	34.4	364750	Management	113860	2	Sales Managers	4	1
11-2022	Job hazards and work attire	25.275	364750	Management	113860	2	Sales Managers	4	1
11-2022	Job interactions and responsibility for others	67.84	364750	Management	113860	2	Sales Managers	4	1
11-2022	Routine vs challenging	66.65	364750	Management	113860	2	Sales Managers	4	1
11-2022	Work setting	50.342857143	364750	Management	113860	1	Sales Managers	4	1
11-2031	Body positioning	38.977777778	60380	Management	104140	3	Public Relations and Fundraising Managers	4	1
11-2031	Communications	90.533333333	60380	Management	104140	0	Public Relations and Fundraising Managers	4	1
11-2031	Competition and pace and scheduling	60.333333333	60380	Management	104140	0	Public Relations and Fundraising Managers	4	1
11-2031	Conflictual contact	53.066666667	60380	Management	104140	1	Public Relations and Fundraising Managers	4	1
11-2031	Criticality	82.05	60380	Management	104140	0	Public Relations and Fundraising Managers	4	1
11-2031	Environmental conditions	30.1	60380	Management	104140	2	Public Relations and Fundraising Managers	4	1
11-2031	Job hazards and work attire	22.7	60380	Management	104140	3	Public Relations and Fundraising Managers	4	1
11-2031	Job interactions and responsibility for others	82.92	60380	Management	104140	0	Public Relations and Fundraising Managers	4	1
11-2031	Routine vs challenging	73.85	60380	Management	104140	0	Public Relations and Fundraising Managers	4	1
11-2031	Work setting	41.142857143	60380	Management	104140	3	Public Relations and Fundraising Managers	4	1
11-3011	Body positioning	40.577777778	270080	Management	86110	3	Administrative Services Managers	3	1
11-3011	Communications	85.533333333	270080	Management	86110	0	Administrative Services Managers	3	1
11-3011	Competition and pace and scheduling	53.733333333	270080	Management	86110	3	Administrative Services Managers	3	1
11-3011	Conflictual contact	56.066666667	270080	Management	86110	0	Administrative Services Managers	3	1
11-3011	Criticality	76.35	270080	Management	86110	2	Administrative Services Managers	3	1
11-3011	Environmental conditions	34.066666667	270080	Management	86110	3	Administrative Services Managers	3	1
11-3011	Job hazards and work attire	26.725	270080	Management	86110	3	Administrative Services Managers	3	1
11-3011	Job interactions and responsibility for others	77.12	270080	Management	86110	1	Administrative Services Managers	3	1
11-3011	Routine vs challenging	74.55	270080	Management	86110	1	Administrative Services Managers	3	1
11-3011	Work setting	45.828571429	270080	Management	86110	2	Administrative Services Managers	3	1
11-3021	Body positioning	40.577777778	341250	Management	131600	2	Computer and Information Systems Managers	4	1
11-3021	Communications	83.166666667	341250	Management	131600	2	Computer and Information Systems Managers	4	1
11-3021	Competition and pace and scheduling	56.4	341250	Management	131600	1	Computer and Information Systems Managers	4	1
11-3021	Conflictual contact	51.8	341250	Management	131600	1	Computer and Information Systems Managers	4	1
11-3021	Criticality	81.1	341250	Management	131600	0	Computer and Information Systems Managers	4	1
11-3021	Environmental conditions	30.2	341250	Management	131600	2	Computer and Information Systems Managers	4	1
11-3021	Job hazards and work attire	22.575	341250	Management	131600	3	Computer and Information Systems Managers	4	1
11-3021	Job interactions and responsibility for others	71.2	341250	Management	131600	1	Computer and Information Systems Managers	4	1
11-3021	Routine vs challenging	72.25	341250	Management	131600	1	Computer and Information Systems Managers	4	1
11-3021	Work setting	41.514285714	341250	Management	131600	3	Computer and Information Systems Managers	4	1
11-3031	Body positioning	39.1	531120	Management	117990	2	Financial Managers	5	1
11-3031	Communications	86.666666667	531120	Management	117990	1	Financial Managers	5	1
11-3031	Competition and pace and scheduling	60.933333333	531120	Management	117990	0	Financial Managers	5	1
11-3031	Conflictual contact	54.2	531120	Management	117990	1	Financial Managers	5	1
11-3031	Criticality	79.6	531120	Management	117990	1	Financial Managers	5	1
11-3031	Environmental conditions	27.85	531120	Management	117990	3	Financial Managers	5	1
11-3031	Job hazards and work attire	21.7125	531120	Management	117990	3	Financial Managers	5	1
11-3031	Job interactions and responsibility for others	77.58	531120	Management	117990	0	Financial Managers	5	1
11-3031	Routine vs challenging	76.075	531120	Management	117990	0	Financial Managers	5	1
11-3031	Work setting	41.5	531120	Management	117990	2	Financial Managers	5	1
11-3051	Body positioning	43.4	169390	Management	93940	1	Industrial Production Managers	4	1
11-3051	Communications	88.758333333	169390	Management	93940	0	Industrial Production Managers	4	1
11-3051	Competition and pace and scheduling	68.3	169390	Management	93940	0	Industrial Production Managers	4	1
11-3051	Conflictual contact	54.816666667	169390	Management	93940	0	Industrial Production Managers	4	1
11-3051	Criticality	87.0625	169390	Management	93940	0	Industrial Production Managers	4	1
11-3051	Environmental conditions	53	169390	Management	93940	0	Industrial Production Managers	4	1
11-3051	Job hazards and work attire	48.91875	169390	Management	93940	0	Industrial Production Managers	4	1
11-3051	Job interactions and responsibility for others	87.03	169390	Management	93940	0	Industrial Production Managers	4	1
11-3051	Routine vs challenging	73.6875	169390	Management	93940	0	Industrial Production Managers	4	1
11-3051	Work setting	64.721428571	169390	Management	93940	0	Industrial Production Managers	4	1
11-3061	Body positioning	38.044444444	72600	Management	108120	3	Purchasing Managers	4	1
11-3061	Communications	86.766666667	72600	Management	108120	0	Purchasing Managers	4	1
11-3061	Competition and pace and scheduling	58.866666667	72600	Management	108120	1	Purchasing Managers	4	1
11-3061	Conflictual contact	53.066666667	72600	Management	108120	1	Purchasing Managers	4	1
11-3061	Criticality	80	72600	Management	108120	0	Purchasing Managers	4	1
11-3061	Environmental conditions	29.266666667	72600	Management	108120	3	Purchasing Managers	4	1
11-3061	Job hazards and work attire	27.5	72600	Management	108120	1	Purchasing Managers	4	1
11-3061	Job interactions and responsibility for others	70.16	72600	Management	108120	2	Purchasing Managers	4	1
11-3061	Routine vs challenging	70.4	72600	Management	108120	1	Purchasing Managers	4	1
11-3061	Work setting	41.171428571	72600	Management	108120	3	Purchasing Managers	4	1
11-3071	Body positioning	42.059259259	109210	Management	86630	1	Transportation, Storage, and Distribution Managers	4	1
11-3071	Communications	85.9	109210	Management	86630	0	Transportation, Storage, and Distribution Managers	4	1
11-3071	Competition and pace and scheduling	59.311111111	109210	Management	86630	1	Transportation, Storage, and Distribution Managers	4	1
11-3071	Conflictual contact	53.488888889	109210	Management	86630	1	Transportation, Storage, and Distribution Managers	4	1
11-3071	Criticality	75.366666667	109210	Management	86630	1	Transportation, Storage, and Distribution Managers	4	1
11-3071	Environmental conditions	35.888888889	109210	Management	86630	1	Transportation, Storage, and Distribution Managers	4	1
11-3071	Job hazards and work attire	32.758333333	109210	Management	86630	1	Transportation, Storage, and Distribution Managers	4	1
11-3071	Job interactions and responsibility for others	79.533333333	109210	Management	86630	0	Transportation, Storage, and Distribution Managers	4	1
11-3071	Routine vs challenging	69.466666667	109210	Management	86630	1	Transportation, Storage, and Distribution Managers	4	1
11-3071	Work setting	50.857142857	109210	Management	86630	1	Transportation, Storage, and Distribution Managers	4	1
11-3111	Body positioning	37.155555556	15930	Management	111430	3	Compensation and Benefits Managers	4	1
11-3111	Communications	84.633333333	15930	Management	111430	1	Compensation and Benefits Managers	4	1
11-3111	Competition and pace and scheduling	49.533333333	15930	Management	111430	3	Compensation and Benefits Managers	4	1
11-3111	Conflictual contact	46	15930	Management	111430	2	Compensation and Benefits Managers	4	1
11-3111	Criticality	70.45	15930	Management	111430	3	Compensation and Benefits Managers	4	1
11-3111	Environmental conditions	23.8	15930	Management	111430	3	Compensation and Benefits Managers	4	1
