SOCCode	Dgroup	average_scale	tot_emp	major_occ	annual_earnings	scale_rank	SOCTitle	jobzone	type
00-0000	Performing complex and technical activities	42.23850434		All occ	34286.705016	1	All occupations	2	0
00-0000	Performing complex and technical activities	34.013393266		All occ	27494.48588	2	All occupations	2	0
00-0000	Performing complex and technical activities	26.690063043		All occ	25948.665238	3	All occupations	2	0
00-0000	Performing complex and technical activities	59.826139801		All occ	48152.195275	0	All occupations	3	0
00-0000	Performing complex and technical activities	50.760048073		All occ	46365.891205	1	All occupations	3	0
00-0000	Performing complex and technical activities	41.759355196		All occ	44552.168628	2	All occupations	3	0
00-0000	Performing complex and technical activities	32.547698793		All occ	35667.954832	3	All occupations	3	0
00-0000	Performing complex and technical activities	56.944115546		All occ	88162.635392	0	All occupations	4	0
00-0000	Performing complex and technical activities	43.616169237		All occ	78705.079308	1	All occupations	4	0
00-0000	Performing complex and technical activities	36.95602542		All occ	65420.738825	2	All occupations	4	0
00-0000	Performing complex and technical activities	31.699083927		All occ	60202.664767	3	All occupations	4	0
00-0000	Performing complex and technical activities	52.335007634		All occ	103245.22159	0	All occupations	5	0
00-0000	Performing complex and technical activities	41.273176657		All occ	89635.958951	1	All occupations	5	0
00-0000	Performing complex and technical activities	35.286768943		All occ	88350.975569	2	All occupations	5	0
00-0000	Performing complex and technical activities	29.557811677		All occ	86745.097261	3	All occupations	5	0
00-0000	Performing physical and manual work	71.649608543		All occ	35586.26768	0	All occupations	1	0
00-0000	Performing physical and manual work	59.252889299		All occ	22592.554814	1	All occupations	1	0
00-0000	Performing physical and manual work	45.912198012		All occ	19370.458247	2	All occupations	1	0
00-0000	Performing physical and manual work	40.195970284		All occ	19747.864768	3	All occupations	1	0
00-0000	Performing physical and manual work	72.690315169		All occ	34435.316214	0	All occupations	2	0
00-0000	Performing physical and manual work	66.944989473		All occ	30561.265803	1	All occupations	2	0
00-0000	Performing physical and manual work	54.76299034		All occ	29133.051708	2	All occupations	2	0
00-0000	Performing physical and manual work	39.244570588		All occ	27068.119587	3	All occupations	2	0
00-0000	Performing physical and manual work	68.988577293		All occ	44852.826132	0	All occupations	3	0
00-0000	Performing physical and manual work	57.536939204		All occ	54178.684219	1	All occupations	3	0
00-0000	Performing physical and manual work	45.44504969		All occ	40627.777972	2	All occupations	3	0
00-0000	Performing physical and manual work	26.826820899		All occ	38016.793846	3	All occupations	3	0
00-0000	Performing physical and manual work	45.477005603		All occ	73960.362488	0	All occupations	4	0
00-0000	Performing physical and manual work	35.288745189		All occ	75553.091942	1	All occupations	4	0
00-0000	Performing physical and manual work	28.659216972		All occ	65831.032463	2	All occupations	4	0
00-0000	Performing physical and manual work	17.797346331		All occ	70995.686625	3	All occupations	4	0
00-0000	Performing physical and manual work	46.149020185		All occ	90420.019716	0	All occupations	5	0
00-0000	Performing physical and manual work	32.222454837		All occ	86851.958736	1	All occupations	5	0
00-0000	Performing physical and manual work	23.879755577		All occ	89999.768565	2	All occupations	5	0
00-0000	Performing physical and manual work	15.903389189		All occ	93782.63755	3	All occupations	5	0
00-0000	Reasoning and decision making	52.523143227		All occ	23928.147337	0	All occupations	1	0
00-0000	Reasoning and decision making	44.247924057		All occ	19941.771878	1	All occupations	1	0
00-0000	Reasoning and decision making	40.195846037		All occ	20025.231442	2	All occupations	1	0
00-0000	Reasoning and decision making	35.604746035		All occ	19543.85428	3	All occupations	1	0
00-0000	Reasoning and decision making	61.204964013		All occ	38942.563636	0	All occupations	2	0
00-0000	Reasoning and decision making	54.616647261		All occ	28241.238272	1	All occupations	2	0
00-0000	Reasoning and decision making	48.493864231		All occ	29054.800321	2	All occupations	2	0
00-0000	Reasoning and decision making	41.362913416		All occ	25909.11427	3	All occupations	2	0
00-0000	Reasoning and decision making	68.687670976		All occ	51967.872943	0	All occupations	3	0
00-0000	Reasoning and decision making	64.291786561		All occ	49136.139159	1	All occupations	3	0
00-0000	Reasoning and decision making	59.223397688		All occ	37657.413892	2	All occupations	3	0
00-0000	Reasoning and decision making	52.637322127		All occ	36733.290332	3	All occupations	3	0
00-0000	Reasoning and decision making	76.466032603		All occ	74185.135715	0	All occupations	4	0
00-0000	Reasoning and decision making	72.530824018		All occ	81712.610839	1	All occupations	4	0
00-0000	Reasoning and decision making	68.221415985		All occ	70806.26293	2	All occupations	4	0
00-0000	Reasoning and decision making	63.118340997		All occ	54944.908325	3	All occupations	4	0
00-0000	Reasoning and decision making	79.670076978		All occ	95648.477323	0	All occupations	5	0
00-0000	Reasoning and decision making	75.508052381		All occ	95658.50347	1	All occupations	5	0
00-0000	Reasoning and decision making	71.641375775		All occ	83981.001404	2	All occupations	5	0
00-0000	Reasoning and decision making	64.874005031		All occ	87286.533725	3	All occupations	5	0
11-0000	Administering	61.608101272	6936990	Management	98560	0	Management		2
11-0000	Communicating and interacting	66.161100016	6936990	Management	98560	0	Management		2
11-0000	Coordinating, developing, managing, and advising	68.535687117	6936990	Management	98560	0	Management		2
11-0000	Information and data processing	68.434577925	6936990	Management	98560	0	Management		2
11-0000	Information input	63.226772409	6936990	Management	98560	1	Management		2
11-0000	Performing complex and technical activities	42.18736099	6936990	Management	98560	1	Management		2
11-0000	Performing physical and manual work	34.146024293	6936990	Management	98560	2	Management		2
11-0000	Reasoning and decision making	73.008221696	6936990	Management	98560	0	Management		2
11-1011	Administering	65.424624811	238940	Management	175110	0	Chief Executives	5	1
11-1011	Communicating and interacting	72.459487403	238940	Management	175110	0	Chief Executives	5	1
11-1011	Coordinating, developing, managing, and advising	74.556859015	238940	Management	175110	0	Chief Executives	5	1
11-1011	Information and data processing	75.193789603	238940	Management	175110	0	Chief Executives	5	1
11-1011	Information input	64.378581966	238940	Management	175110	1	Chief Executives	5	1
11-1011	Performing complex and technical activities	35.792751877	238940	Management	175110	2	Chief Executives	5	1
11-1011	Performing physical and manual work	20.536522976	238940	Management	175110	2	Chief Executives	5	1
11-1011	Reasoning and decision making	79.539633269	238940	Management	175110	0	Chief Executives	5	1
11-1021	Administering	63.368729653	2145140	Management	97730	0	General and Operations Managers	4	1
11-1021	Communicating and interacting	64.612062329	2145140	Management	97730	1	General and Operations Managers	4	1
11-1021	Coordinating, developing, managing, and advising	68.542267333	2145140	Management	97730	0	General and Operations Managers	4	1
11-1021	Information and data processing	67.611168274	2145140	Management	97730	1	General and Operations Managers	4	1
11-1021	Information input	65.480696464	2145140	Management	97730	1	General and Operations Managers	4	1
11-1021	Performing complex and technical activities	45.244188681	2145140	Management	97730	1	General and Operations Managers	4	1
11-1021	Performing physical and manual work	44.06962678	2145140	Management	97730	0	General and Operations Managers	4	1
11-1021	Reasoning and decision making	68.860052612	2145140	Management	97730	2	General and Operations Managers	4	1
11-2011	Administering	41.912229348	29340	Management	95890	2	Advertising and Promotions Managers	4	1
11-2011	Communicating and interacting	62.928821854	29340	Management	95890	1	Advertising and Promotions Managers	4	1
11-2011	Coordinating, developing, managing, and advising	47.087450632	29340	Management	95890	3	Advertising and Promotions Managers	4	1
11-2011	Information and data processing	50.567736459	29340	Management	95890	3	Advertising and Promotions Managers	4	1
11-2011	Information input	51.322679619	29340	Management	95890	3	Advertising and Promotions Managers	4	1
11-2011	Performing complex and technical activities	36.170651773	29340	Management	95890	2	Advertising and Promotions Managers	4	1
11-2011	Performing physical and manual work	31.392851795	29340	Management	95890	2	Advertising and Promotions Managers	4	1
11-2011	Reasoning and decision making	71.6452402	29340	Management	95890	1	Advertising and Promotions Managers	4	1
11-2021	Administering	47.76737901	192890	Management	128750	2	Marketing Managers	4	1
11-2021	Communicating and interacting	68.922563073	192890	Management	128750	0	Marketing Managers	4	1
11-2021	Coordinating, developing, managing, and advising	65.011004121	192890	Management	128750	0	Marketing Managers	4	1
11-2021	Information and data processing	57.303612778	192890	Management	128750	3	Marketing Managers	4	1
11-2021	Information input	56.816744857	192890	Management	128750	2	Marketing Managers	4	1
11-2021	Performing complex and technical activities	28.815297031	192890	Management	128750	3	Marketing Managers	4	1
11-2021	Performing physical and manual work	18.422701572	192890	Management	128750	3	Marketing Managers	4	1
11-2021	Reasoning and decision making	73.219781854	192890	Management	128750	1	Marketing Managers	4	1
11-2022	Administering	65.369060917	364750	Management	113860	0	Sales Managers	4	1
11-2022	Communicating and interacting	71.908731623	364750	Management	113860	0	Sales Managers	4	1
11-2022	Coordinating, developing, managing, and advising	72.839848364	364750	Management	113860	0	Sales Managers	4	1
11-2022	Information and data processing	61.106983798	364750	Management	113860	2	Sales Managers	4	1
11-2022	Information input	47.857100506	364750	Management	113860	3	Sales Managers	4	1
11-2022	Performing complex and technical activities	35.062618845	364750	Management	113860	2	Sales Managers	4	1
11-2022	Performing physical and manual work	28.442849999	364750	Management	113860	2	Sales Managers	4	1
11-2022	Reasoning and decision making	71.194875734	364750	Management	113860	1	Sales Managers	4	1
11-2031	Administering	52.724667227	60380	Management	104140	1	Public Relations and Fundraising Managers	4	1
11-2031	Communicating and interacting	76.313255831	60380	Management	104140	0	Public Relations and Fundraising Managers	4	1
11-2031	Coordinating, developing, managing, and advising	66.388620833	60380	Management	104140	0	Public Relations and Fundraising Managers	4	1
11-2031	Information and data processing	62.044275204	60380	Management	104140	2	Public Relations and Fundraising Managers	4	1
11-2031	Information input	59.017388656	60380	Management	104140	2	Public Relations and Fundraising Managers	4	1
