SOCCode	Dgroup	average_scale	tot_emp	major_occ	annual_earnings	scale_rank	SOCTitle	jobzone	type
11-3131	Resource management	62.158333907	31430	Management	102640	0	Training and Development Managers	4	1
11-3131	Social	64.17413076	31430	Management	102640	0	Training and Development Managers	4	1
11-3131	Systems and complex problem solving	62.926530012	31430	Management	102640	0	Training and Development Managers	4	1
11-3131	Technical	18.259846666	31430	Management	102640	2	Training and Development Managers	4	1
11-9013	Content	55.88283483	4370	Management	64170	2	Farmers, Ranchers, and Other Agricultural Managers	4	1
11-9013	Process	58.683687037	4370	Management	64170	2	Farmers, Ranchers, and Other Agricultural Managers	4	1
11-9013	Resource management	54.218907782	4370	Management	64170	0	Farmers, Ranchers, and Other Agricultural Managers	4	1
11-9013	Social	55.109461377	4370	Management	64170	1	Farmers, Ranchers, and Other Agricultural Managers	4	1
11-9013	Systems and complex problem solving	56.480851154	4370	Management	64170	2	Farmers, Ranchers, and Other Agricultural Managers	4	1
11-9013	Technical	34.271394813	4370	Management	64170	0	Farmers, Ranchers, and Other Agricultural Managers	4	1
11-9021	Content	59.454116581	239640	Management	87400	1	Construction Managers	4	1
11-9021	Process	62.220709683	239640	Management	87400	0	Construction Managers	4	1
11-9021	Resource management	63.506890462	239640	Management	87400	0	Construction Managers	4	1
11-9021	Social	59.366542677	239640	Management	87400	0	Construction Managers	4	1
11-9021	Systems and complex problem solving	61.335904418	239640	Management	87400	0	Construction Managers	4	1
11-9021	Technical	25.65802563	239640	Management	87400	1	Construction Managers	4	1
11-9031	Content	52.725604238	46760	Management	45670	3	Education Administrators, Preschool and Childcare Center/Program	4	1
11-9031	Process	63.905680539	46760	Management	45670	0	Education Administrators, Preschool and Childcare Center/Program	4	1
11-9031	Resource management	56.452238222	46760	Management	45670	0	Education Administrators, Preschool and Childcare Center/Program	4	1
11-9031	Social	60.543118754	46760	Management	45670	0	Education Administrators, Preschool and Childcare Center/Program	4	1
11-9031	Systems and complex problem solving	56.992198307	46760	Management	45670	2	Education Administrators, Preschool and Childcare Center/Program	4	1
11-9031	Technical	14.071808155	46760	Management	45670	2	Education Administrators, Preschool and Childcare Center/Program	4	1
11-9032	Content	63.022938366	235110	Management	90410	2	Education Administrators, Elementary and Secondary School	5	1
11-9032	Process	70.978802375	235110	Management	90410	0	Education Administrators, Elementary and Secondary School	5	1
11-9032	Resource management	61.406935329	235110	Management	90410	0	Education Administrators, Elementary and Secondary School	5	1
11-9032	Social	64.566683896	235110	Management	90410	0	Education Administrators, Elementary and Secondary School	5	1
11-9032	Systems and complex problem solving	66.220761304	235110	Management	90410	0	Education Administrators, Elementary and Secondary School	5	1
11-9032	Technical	17.594500482	235110	Management	90410	1	Education Administrators, Elementary and Secondary School	5	1
11-9033	Content	57.941553913	135690	Management	88580	3	Education Administrators, Postsecondary	5	1
11-9033	Process	65.993223594	135690	Management	88580	1	Education Administrators, Postsecondary	5	1
11-9033	Resource management	60.134505034	135690	Management	88580	0	Education Administrators, Postsecondary	5	1
11-9033	Social	64.277804306	135690	Management	88580	0	Education Administrators, Postsecondary	5	1
11-9033	Systems and complex problem solving	62.585070148	135690	Management	88580	0	Education Administrators, Postsecondary	5	1
11-9033	Technical	6.6538258819	135690	Management	88580	3	Education Administrators, Postsecondary	5	1
11-9039	Content	55.139007239	31880	Management	76930	3	Education Administrators, All Other	5	1
11-9039	Process	63.589609427	31880	Management	76930	2	Education Administrators, All Other	5	1
11-9039	Resource management	53.513497858	31880	Management	76930	0	Education Administrators, All Other	5	1
11-9039	Social	60.979928878	31880	Management	76930	0	Education Administrators, All Other	5	1
11-9039	Systems and complex problem solving	56.115635994	31880	Management	76930	2	Education Administrators, All Other	5	1
11-9039	Technical	22.613291028	31880	Management	76930	0	Education Administrators, All Other	5	1
11-9041	Content	60.670413945	179770	Management	132800	3	Architectural and Engineering Managers	5	1
11-9041	Process	61.384985815	179770	Management	132800	3	Architectural and Engineering Managers	5	1
11-9041	Resource management	51.154547186	179770	Management	132800	0	Architectural and Engineering Managers	5	1
11-9041	Social	56.382561192	179770	Management	132800	1	Architectural and Engineering Managers	5	1
11-9041	Systems and complex problem solving	61.486027149	179770	Management	132800	1	Architectural and Engineering Managers	5	1
11-9041	Technical	29.510028706	179770	Management	132800	0	Architectural and Engineering Managers	5	1
11-9051	Content	52.189375198	201370	Management	48690	1	Food Service Managers	3	1
11-9051	Process	60.982741897	201370	Management	48690	0	Food Service Managers	3	1
11-9051	Resource management	57.784999471	201370	Management	48690	0	Food Service Managers	3	1
11-9051	Social	61.075692899	201370	Management	48690	0	Food Service Managers	3	1
11-9051	Systems and complex problem solving	50.690398599	201370	Management	48690	1	Food Service Managers	3	1
11-9051	Technical	30.343215896	201370	Management	48690	1	Food Service Managers	3	1
11-9061	Content	50.336155245	8300	Management	70890	1	Funeral Service Managers	3	1
11-9061	Process	54.057685551	8300	Management	70890	1	Funeral Service Managers	3	1
11-9061	Resource management	51.722673775	8300	Management	70890	0	Funeral Service Managers	3	1
11-9061	Social	59.497141036	8300	Management	70890	0	Funeral Service Managers	3	1
11-9061	Systems and complex problem solving	47.491725809	8300	Management	70890	2	Funeral Service Managers	3	1
11-9061	Technical	16.116195839	8300	Management	70890	3	Funeral Service Managers	3	1
11-9071	Content	54.659541173	3950	Management	68380	0	Gaming Managers	3	1
11-9071	Process	63.590311168	3950	Management	68380	0	Gaming Managers	3	1
11-9071	Resource management	55.695142518	3950	Management	68380	0	Gaming Managers	3	1
11-9071	Social	63.195938719	3950	Management	68380	0	Gaming Managers	3	1
11-9071	Systems and complex problem solving	57.011854875	3950	Management	68380	0	Gaming Managers	3	1
11-9071	Technical	14.686997276	3950	Management	68380	3	Gaming Managers	3	1
11-9081	Content	53.841401335	35480	Management	49720	0	Lodging Managers	3	1
11-9081	Process	64.668873864	35480	Management	49720	0	Lodging Managers	3	1
11-9081	Resource management	64.61553196	35480	Management	49720	0	Lodging Managers	3	1
11-9081	Social	64.59694683	35480	Management	49720	0	Lodging Managers	3	1
11-9081	Systems and complex problem solving	60.196743476	35480	Management	49720	0	Lodging Managers	3	1
11-9081	Technical	28.099045349	35480	Management	49720	2	Lodging Managers	3	1
11-9111	Content	62.469914251	314950	Management	94500	2	Medical and Health Services Managers	5	1
11-9111	Process	63.894192016	314950	Management	94500	2	Medical and Health Services Managers	5	1
11-9111	Resource management	62.539276681	314950	Management	94500	0	Medical and Health Services Managers	5	1
11-9111	Social	62.827805078	314950	Management	94500	0	Medical and Health Services Managers	5	1
11-9111	Systems and complex problem solving	62.838880613	314950	Management	94500	0	Medical and Health Services Managers	5	1
11-9111	Technical	17.678196211	314950	Management	94500	1	Medical and Health Services Managers	5	1
11-9121	Content	64.956390414	53450	Management	120160	0	Natural Sciences Managers	4	1
11-9121	Process	62.12080641	53450	Management	120160	1	Natural Sciences Managers	4	1
11-9121	Resource management	53.799502209	53450	Management	120160	0	Natural Sciences Managers	4	1
11-9121	Social	56.493729023	53450	Management	120160	1	Natural Sciences Managers	4	1
11-9121	Systems and complex problem solving	61.675413693	53450	Management	120160	0	Natural Sciences Managers	4	1
11-9121	Technical	20.458149215	53450	Management	120160	1	Natural Sciences Managers	4	1
11-9131	Content	51.58831502	14770	Management	70640	1	Postmasters and Mail Superintendents	3	1
11-9131	Process	59.41893607	14770	Management	70640	0	Postmasters and Mail Superintendents	3	1
11-9131	Resource management	52.786019606	14770	Management	70640	0	Postmasters and Mail Superintendents	3	1
11-9131	Social	56.287477031	14770	Management	70640	0	Postmasters and Mail Superintendents	3	1
11-9131	Systems and complex problem solving	50.682124657	14770	Management	70640	1	Postmasters and Mail Superintendents	3	1
11-9131	Technical	18.891971797	14770	Management	70640	2	Postmasters and Mail Superintendents	3	1
11-9141	Content	53.678884788	174410	Management	55380	3	Property, Real Estate, and Community Association Managers	4	1
11-9141	Process	55.145125183	174410	Management	55380	3	Property, Real Estate, and Community Association Managers	4	1
11-9141	Resource management	51.658627687	174410	Management	55380	0	Property, Real Estate, and Community Association Managers	4	1
11-9141	Social	57.909824882	174410	Management	55380	1	Property, Real Estate, and Community Association Managers	4	1
11-9141	Systems and complex problem solving	46.188594304	174410	Management	55380	3	Property, Real Estate, and Community Association Managers	4	1
11-9141	Technical	15.921933085	174410	Management	55380	2	Property, Real Estate, and Community Association Managers	4	1
11-9151	Content	64.187359572	119770	Management	63530	0	Social and Community Service Managers	4	1
11-9151	Process	67.447139093	119770	Management	63530	0	Social and Community Service Managers	4	1
11-9151	Resource management	64.537609525	119770	Management	63530	0	Social and Community Service Managers	4	1
11-9151	Social	65.913261409	119770	Management	63530	0	Social and Community Service Managers	4	1
11-9151	Systems and complex problem solving	66.731030634	119770	Management	63530	0	Social and Community Service Managers	4	1
11-9151	Technical	17.337237953	119770	Management	63530	2	Social and Community Service Managers	4	1
11-9161	Content	59.091813985	9840	Management	67330	1	Emergency Management Directors	4	1
11-9161	Process	66.410654457	9840	Management	67330	0	Emergency Management Directors	4	1
11-9161	Resource management	54.117966094	9840	Management	67330	0	Emergency Management Directors	4	1
11-9161	Social	66.757359739	9840	Management	67330	0	Emergency Management Directors	4	1
11-9161	Systems and complex problem solving	67.87668299	9840	Management	67330	0	Emergency Management Directors	4	1
11-9161	Technical	21.611181483	9840	Management	67330	1	Emergency Management Directors	4	1
11-9199	Content	55.231527354	376440	Management	104850	2	Managers, All Other	4	1
11-9199	Process	61.722789283	376440	Management	104850	1	Managers, All Other	4	1
11-9199	Resource management	51.563142899	376440	Management	104850	0	Managers, All Other	4	1
11-9199	Social	58.17149428	376440	Management	104850	1	Managers, All Other	4	1
11-9199	Systems and complex problem solving	61.351376674	376440	Management	104850	0	Managers, All Other	4	1
11-9199	Technical	17.369271662	376440	Management	104850	2	Managers, All Other	4	1
13-0000	Content	55.464943223	7032560	Business and financial operations	65710	1	Business and financial operations		2
13-0000	Process	57.411983617	7032560	Business and financial operations	65710	1	Business and financial operations		2
13-0000	Resource management	42.581631986	7032560	Business and financial operations	65710	0	Business and financial operations		2
13-0000	Social	53.479628663	7032560	Business and financial operations	65710	1	Business and financial operations		2
13-0000	Systems and complex problem solving	55.426842712	7032560	Business and financial operations	65710	1	Business and financial operations		2
13-0000	Technical	16.075118755	7032560	Business and financial operations	65710	2	Business and financial operations		2
13-1011	Content	51.548840069	13230	Business and financial operations	62940	3	Agents and Business Managers of Artists, Performers, and Athletes	4	1
13-1011	Process	55.127523123	13230	Business and financial operations	62940	3	Agents and Business Managers of Artists, Performers, and Athletes	4	1
13-1011	Resource management	44.816676175	13230	Business and financial operations	62940	1	Agents and Business Managers of Artists, Performers, and Athletes	4	1
13-1011	Social	60.678615377	13230	Business and financial operations	62940	0	Agents and Business Managers of Artists, Performers, and Athletes	4	1
13-1011	Systems and complex problem solving	48.255396646	13230	Business and financial operations	62940	3	Agents and Business Managers of Artists, Performers, and Athletes	4	1
13-1011	Technical	9.745627628	13230	Business and financial operations	62940	3	Agents and Business Managers of Artists, Performers, and Athletes	4	1
13-1021	Content	52.103381241	12160	Business and financial operations	56270	3	Buyers and Purchasing Agents, Farm Products	4	1
13-1021	Process	54.060541275	12160	Business and financial operations	56270	3	Buyers and Purchasing Agents, Farm Products	4	1
13-1021	Resource management	50.165230349	12160	Business and financial operations	56270	0	Buyers and Purchasing Agents, Farm Products	4	1
