SOCCode	Dgroup	average_scale	tot_emp	major_occ	annual_earnings	scale_rank	SOCTitle	jobzone	type
11-3111	Manufacturing, production, and transportation	14.403462773	15930	Management	111430	3	Compensation and Benefits Managers	4	1
11-3111	Mathematics and science	26.039430591	15930	Management	111430	3	Compensation and Benefits Managers	4	1
11-3121	Arts and humanities	35.129347088	122780	Management	104440	1	Human Resources Managers	4	1
11-3121	Business and management	63.897755357	122780	Management	104440	0	Human Resources Managers	4	1
11-3121	Communications	32.451009102	122780	Management	104440	2	Human Resources Managers	4	1
11-3121	Education and training	70.203785487	122780	Management	104440	0	Human Resources Managers	4	1
11-3121	Engineering and technology	22.739892517	122780	Management	104440	3	Human Resources Managers	4	1
11-3121	Health services	37.297426973	122780	Management	104440	0	Human Resources Managers	4	1
11-3121	Law and public safety	55.848375218	122780	Management	104440	0	Human Resources Managers	4	1
11-3121	Manufacturing, production, and transportation	18.688900321	122780	Management	104440	3	Human Resources Managers	4	1
11-3121	Mathematics and science	35.497825753	122780	Management	104440	2	Human Resources Managers	4	1
11-3131	Arts and humanities	42.515184899	31430	Management	102640	0	Training and Development Managers	4	1
11-3131	Business and management	65.94723511	31430	Management	102640	0	Training and Development Managers	4	1
11-3131	Communications	49.789252248	31430	Management	102640	0	Training and Development Managers	4	1
11-3131	Education and training	91.024328274	31430	Management	102640	0	Training and Development Managers	4	1
11-3131	Engineering and technology	29.088078716	31430	Management	102640	2	Training and Development Managers	4	1
11-3131	Health services	31.558046264	31430	Management	102640	0	Training and Development Managers	4	1
11-3131	Law and public safety	45.759463903	31430	Management	102640	1	Training and Development Managers	4	1
11-3131	Manufacturing, production, and transportation	27.462054004	31430	Management	102640	1	Training and Development Managers	4	1
11-3131	Mathematics and science	34.253400148	31430	Management	102640	2	Training and Development Managers	4	1
11-9013	Arts and humanities	26.352719384	4370	Management	64170	2	Farmers, Ranchers, and Other Agricultural Managers	4	1
11-9013	Business and management	62.834137265	4370	Management	64170	0	Farmers, Ranchers, and Other Agricultural Managers	4	1
11-9013	Communications	32.346940957	4370	Management	64170	3	Farmers, Ranchers, and Other Agricultural Managers	4	1
11-9013	Education and training	62.643830206	4370	Management	64170	1	Farmers, Ranchers, and Other Agricultural Managers	4	1
11-9013	Engineering and technology	56.338207179	4370	Management	64170	0	Farmers, Ranchers, and Other Agricultural Managers	4	1
11-9013	Health services	23.595734819	4370	Management	64170	1	Farmers, Ranchers, and Other Agricultural Managers	4	1
11-9013	Law and public safety	53.675696098	4370	Management	64170	0	Farmers, Ranchers, and Other Agricultural Managers	4	1
11-9013	Manufacturing, production, and transportation	64.034443985	4370	Management	64170	0	Farmers, Ranchers, and Other Agricultural Managers	4	1
11-9013	Mathematics and science	53.310598622	4370	Management	64170	0	Farmers, Ranchers, and Other Agricultural Managers	4	1
11-9021	Arts and humanities	25.71766218	239640	Management	87400	2	Construction Managers	4	1
11-9021	Business and management	60.475221348	239640	Management	87400	0	Construction Managers	4	1
