SOCCode	Element_ID	Element_Name	average_scale	TOT_EMP	major_occ	annual_earnings	scale_rank	SOCTitle	jobzone	type
13-2011	2.C.3.b	Engineering and Technology	19.859500808	1,226,910	Business and financial operations	67190	3	Accountants and Auditors	4	1
13-2011	2.C.3.c	Design	15.515217863	1,226,910	Business and financial operations	67190	3	Accountants and Auditors	4	1
13-2011	2.C.3.d	Building and Construction	16.077786212	1,226,910	Business and financial operations	67190	2	Accountants and Auditors	4	1
13-2011	2.C.3.e	Mechanical	16.366616837	1,226,910	Business and financial operations	67190	2	Accountants and Auditors	4	1
13-2011	2.C.4.a	Mathematics	69.888006613	1,226,910	Business and financial operations	67190	1	Accountants and Auditors	4	1
13-2011	2.C.4.b	Physics	7.1432892579	1,226,910	Business and financial operations	67190	3	Accountants and Auditors	4	1
13-2011	2.C.4.c	Chemistry	7.1053194657	1,226,910	Business and financial operations	67190	3	Accountants and Auditors	4	1
13-2011	2.C.4.d	Biology	4.4640961316	1,226,910	Business and financial operations	67190	3	Accountants and Auditors	4	1
13-2011	2.C.4.e	Psychology	29.976401011	1,226,910	Business and financial operations	67190	3	Accountants and Auditors	4	1
13-2011	2.C.4.f	Sociology and Anthropology	19.897735861	1,226,910	Business and financial operations	67190	3	Accountants and Auditors	4	1
13-2011	2.C.4.g	Geography	17.103274439	1,226,910	Business and financial operations	67190	3	Accountants and Auditors	4	1
13-2011	2.C.5.a	Medicine and Dentistry	6.3657196605	1,226,910	Business and financial operations	67190	3	Accountants and Auditors	4	1
13-2011	2.C.5.b	Therapy and Counseling	15.403747806	1,226,910	Business and financial operations	67190	2	Accountants and Auditors	4	1
13-2011	2.C.6	Education and Training	39.458082112	1,226,910	Business and financial operations	67190	3	Accountants and Auditors	4	1
13-2011	2.C.7.a	English Language	67.118559121	1,226,910	Business and financial operations	67190	2	Accountants and Auditors	4	1
13-2011	2.C.7.b	Foreign Language	19.963510852	1,226,910	Business and financial operations	67190	2	Accountants and Auditors	4	1
13-2011	2.C.7.c	Fine Arts	6.9863501393	1,226,910	Business and financial operations	67190	2	Accountants and Auditors	4	1
13-2011	2.C.7.d	History and Archeology	11.916507176	1,226,910	Business and financial operations	67190	3	Accountants and Auditors	4	1
13-2011	2.C.7.e	Philosophy and Theology	16.122305431	1,226,910	Business and financial operations	67190	2	Accountants and Auditors	4	1
13-2011	2.C.8.a	Public Safety and Security	27.868172316	1,226,910	Business and financial operations	67190	3	Accountants and Auditors	4	1
13-2011	2.C.8.b	Law and Government	52.73104938	1,226,910	Business and financial operations	67190	1	Accountants and Auditors	4	1
13-2011	2.C.9.a	Telecommunications	23.898191566	1,226,910	Business and financial operations	67190	3	Accountants and Auditors	4	1
13-2011	2.C.9.b	Communications and Media	36.11916477	1,226,910	Business and financial operations	67190	3	Accountants and Auditors	4	1
13-2021	2.C.1.a	Administration and Management	58.526517299	60,290	Business and financial operations	51860	2	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.1.b	Clerical	64.908810679	60,290	Business and financial operations	51860	0	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.1.c	Economics and Accounting	55.963065113	60,290	Business and financial operations	51860	0	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.1.d	Sales and Marketing	37.988735319	60,290	Business and financial operations	51860	2	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.1.e	Customer and Personal Service	68.150208691	60,290	Business and financial operations	51860	1	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.1.f	Personnel and Human Resources	35.738713424	60,290	Business and financial operations	51860	2	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.10	Transportation	33.327769912	60,290	Business and financial operations	51860	1	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.2.a	Production and Processing	29.985180997	60,290	Business and financial operations	51860	2	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.2.b	Food Production	20.201018414	60,290	Business and financial operations	51860	0	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.3.a	Computers and Electronics	65.559807822	60,290	Business and financial operations	51860	1	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.3.b	Engineering and Technology	23.79749267	60,290	Business and financial operations	51860	2	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.3.c	Design	38.607186002	60,290	Business and financial operations	51860	1	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.3.d	Building and Construction	62.107513506	60,290	Business and financial operations	51860	0	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.3.e	Mechanical	27.229890917	60,290	Business and financial operations	51860	1	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.4.a	Mathematics	70.203610299	60,290	Business and financial operations	51860	1	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.4.b	Physics	12.147495933	60,290	Business and financial operations	51860	3	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.4.c	Chemistry	7.9144166035	60,290	Business and financial operations	51860	3	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.4.d	Biology	11.580034145	60,290	Business and financial operations	51860	2	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.4.e	Psychology	29.584330182	60,290	Business and financial operations	51860	3	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.4.f	Sociology and Anthropology	24.049204024	60,290	Business and financial operations	51860	2	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.4.g	Geography	55.314645588	60,290	Business and financial operations	51860	0	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.5.a	Medicine and Dentistry	7.5134740323	60,290	Business and financial operations	51860	3	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.5.b	Therapy and Counseling	11.187965037	60,290	Business and financial operations	51860	3	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.6	Education and Training	50.28058958	60,290	Business and financial operations	51860	2	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.7.a	English Language	66.821858995	60,290	Business and financial operations	51860	2	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.7.b	Foreign Language	13.747718269	60,290	Business and financial operations	51860	3	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.7.c	Fine Arts	9.8590060576	60,290	Business and financial operations	51860	2	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.7.d	History and Archeology	22.791916014	60,290	Business and financial operations	51860	1	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.7.e	Philosophy and Theology	14.367046739	60,290	Business and financial operations	51860	3	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.8.a	Public Safety and Security	41.593572217	60,290	Business and financial operations	51860	2	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.8.b	Law and Government	65.738858723	60,290	Business and financial operations	51860	0	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.9.a	Telecommunications	26.911945306	60,290	Business and financial operations	51860	2	Appraisers and Assessors of Real Estate	4	1
13-2021	2.C.9.b	Communications and Media	36.411976443	60,290	Business and financial operations	51860	3	Appraisers and Assessors of Real Estate	4	1
13-2031	2.C.1.a	Administration and Management	72.033324961	56,300	Business and financial operations	71590	0	Budget Analysts	4	1
13-2031	2.C.1.b	Clerical	67.342832028	56,300	Business and financial operations	71590	0	Budget Analysts	4	1
13-2031	2.C.1.c	Economics and Accounting	84.074966094	56,300	Business and financial operations	71590	0	Budget Analysts	4	1
13-2031	2.C.1.d	Sales and Marketing	24.561293319	56,300	Business and financial operations	71590	3	Budget Analysts	4	1
13-2031	2.C.1.e	Customer and Personal Service	62.584341528	56,300	Business and financial operations	71590	2	Budget Analysts	4	1
13-2031	2.C.1.f	Personnel and Human Resources	54.040726083	56,300	Business and financial operations	71590	0	Budget Analysts	4	1
13-2031	2.C.10	Transportation	18.110770043	56,300	Business and financial operations	71590	3	Budget Analysts	4	1
13-2031	2.C.2.a	Production and Processing	28.120150593	56,300	Business and financial operations	71590	2	Budget Analysts	4	1
13-2031	2.C.2.b	Food Production	11.364103947	56,300	Business and financial operations	71590	1	Budget Analysts	4	1
13-2031	2.C.3.a	Computers and Electronics	65.346329954	56,300	Business and financial operations	71590	1	Budget Analysts	4	1
13-2031	2.C.3.b	Engineering and Technology	19.437812859	56,300	Business and financial operations	71590	3	Budget Analysts	4	1
13-2031	2.C.3.c	Design	19.560894396	56,300	Business and financial operations	71590	3	Budget Analysts	4	1
13-2031	2.C.3.d	Building and Construction	13.68001641	56,300	Business and financial operations	71590	2	Budget Analysts	4	1
13-2031	2.C.3.e	Mechanical	11.754634174	56,300	Business and financial operations	71590	3	Budget Analysts	4	1
13-2031	2.C.4.a	Mathematics	75.43928689	56,300	Business and financial operations	71590	0	Budget Analysts	4	1
13-2031	2.C.4.b	Physics	8.6172584904	56,300	Business and financial operations	71590	3	Budget Analysts	4	1
13-2031	2.C.4.c	Chemistry	8.944271929	56,300	Business and financial operations	71590	3	Budget Analysts	4	1
13-2031	2.C.4.d	Biology	9.8459560632	56,300	Business and financial operations	71590	3	Budget Analysts	4	1
13-2031	2.C.4.e	Psychology	30.594116978	56,300	Business and financial operations	71590	3	Budget Analysts	4	1
13-2031	2.C.4.f	Sociology and Anthropology	22.22225372	56,300	Business and financial operations	71590	3	Budget Analysts	4	1
13-2031	2.C.4.g	Geography	17.866169157	56,300	Business and financial operations	71590	3	Budget Analysts	4	1
13-2031	2.C.5.a	Medicine and Dentistry	11.886366716	56,300	Business and financial operations	71590	2	Budget Analysts	4	1
13-2031	2.C.5.b	Therapy and Counseling	15.90687227	56,300	Business and financial operations	71590	2	Budget Analysts	4	1
13-2031	2.C.6	Education and Training	54.55822555	56,300	Business and financial operations	71590	2	Budget Analysts	4	1
13-2031	2.C.7.a	English Language	70.044883328	56,300	Business and financial operations	71590	1	Budget Analysts	4	1
13-2031	2.C.7.b	Foreign Language	5.7718527126	56,300	Business and financial operations	71590	3	Budget Analysts	4	1
13-2031	2.C.7.c	Fine Arts	7.4871320812	56,300	Business and financial operations	71590	2	Budget Analysts	4	1
13-2031	2.C.7.d	History and Archeology	11.556074487	56,300	Business and financial operations	71590	3	Budget Analysts	4	1
13-2031	2.C.7.e	Philosophy and Theology	13.559393058	56,300	Business and financial operations	71590	3	Budget Analysts	4	1
13-2031	2.C.8.a	Public Safety and Security	31.131058756	56,300	Business and financial operations	71590	3	Budget Analysts	4	1
13-2031	2.C.8.b	Law and Government	55.334308296	56,300	Business and financial operations	71590	1	Budget Analysts	4	1
13-2031	2.C.9.a	Telecommunications	25.772078016	56,300	Business and financial operations	71590	2	Budget Analysts	4	1
13-2031	2.C.9.b	Communications and Media	42.661457648	56,300	Business and financial operations	71590	2	Budget Analysts	4	1
13-2041	2.C.1.a	Administration and Management	43.853978932	70,840	Business and financial operations	69680	3	Credit Analysts	4	1
13-2041	2.C.1.b	Clerical	62.257528435	70,840	Business and financial operations	69680	0	Credit Analysts	4	1
13-2041	2.C.1.c	Economics and Accounting	67.865414796	70,840	Business and financial operations	69680	0	Credit Analysts	4	1
13-2041	2.C.1.d	Sales and Marketing	36.340062154	70,840	Business and financial operations	69680	2	Credit Analysts	4	1
13-2041	2.C.1.e	Customer and Personal Service	60.327675406	70,840	Business and financial operations	69680	2	Credit Analysts	4	1
13-2041	2.C.1.f	Personnel and Human Resources	21.908251143	70,840	Business and financial operations	69680	3	Credit Analysts	4	1
13-2041	2.C.10	Transportation	22.21325277	70,840	Business and financial operations	69680	2	Credit Analysts	4	1
13-2041	2.C.2.a	Production and Processing	28.050973375	70,840	Business and financial operations	69680	2	Credit Analysts	4	1
13-2041	2.C.2.b	Food Production	18.415055429	70,840	Business and financial operations	69680	0	Credit Analysts	4	1
13-2041	2.C.3.a	Computers and Electronics	46.2168803	70,840	Business and financial operations	69680	3	Credit Analysts	4	1
13-2041	2.C.3.b	Engineering and Technology	15.874507671	70,840	Business and financial operations	69680	3	Credit Analysts	4	1
13-2041	2.C.3.c	Design	11.856282421	70,840	Business and financial operations	69680	3	Credit Analysts	4	1
13-2041	2.C.3.d	Building and Construction	17.736966501	70,840	Business and financial operations	69680	2	Credit Analysts	4	1
13-2041	2.C.3.e	Mechanical	15.775206494	70,840	Business and financial operations	69680	2	Credit Analysts	4	1
13-2041	2.C.4.a	Mathematics	65.292749072	70,840	Business and financial operations	69680	1	Credit Analysts	4	1
13-2041	2.C.4.b	Physics	12.851903778	70,840	Business and financial operations	69680	2	Credit Analysts	4	1
13-2041	2.C.4.c	Chemistry	14.928400569	70,840	Business and financial operations	69680	2	Credit Analysts	4	1
13-2041	2.C.4.d	Biology	14.182484162	70,840	Business and financial operations	69680	2	Credit Analysts	4	1
13-2041	2.C.4.e	Psychology	32.771938123	70,840	Business and financial operations	69680	2	Credit Analysts	4	1
13-2041	2.C.4.f	Sociology and Anthropology	26.785924381	70,840	Business and financial operations	69680	2	Credit Analysts	4	1
13-2041	2.C.4.g	Geography	29.073306846	70,840	Business and financial operations	69680	2	Credit Analysts	4	1
13-2041	2.C.5.a	Medicine and Dentistry	14.191546626	70,840	Business and financial operations	69680	2	Credit Analysts	4	1
13-2041	2.C.5.b	Therapy and Counseling	16.552945245	70,840	Business and financial operations	69680	2	Credit Analysts	4	1
13-2041	2.C.6	Education and Training	33.806170189	70,840	Business and financial operations	69680	3	Credit Analysts	4	1
13-2041	2.C.7.a	English Language	62.778522856	70,840	Business and financial operations	69680	3	Credit Analysts	4	1
13-2041	2.C.7.b	Foreign Language	16.309506555	70,840	Business and financial operations	69680	3	Credit Analysts	4	1
13-2041	2.C.7.c	Fine Arts	8.6172584904	70,840	Business and financial operations	69680	2	Credit Analysts	4	1
13-2041	2.C.7.d	History and Archeology	19.763603179	70,840	Business and financial operations	69680	2	Credit Analysts	4	1
13-2041	2.C.7.e	Philosophy and Theology	21.627363948	70,840	Business and financial operations	69680	2	Credit Analysts	4	1
13-2041	2.C.8.a	Public Safety and Security	17.270122747	70,840	Business and financial operations	69680	3	Credit Analysts	4	1
13-2041	2.C.8.b	Law and Government	51.838486326	70,840	Business and financial operations	69680	1	Credit Analysts	4	1
13-2041	2.C.9.a	Telecommunications	18.830067652	70,840	Business and financial operations	69680	3	Credit Analysts	4	1
13-2041	2.C.9.b	Communications and Media	36.679695945	70,840	Business and financial operations	69680	3	Credit Analysts	4	1
13-2051	2.C.1.a	Administration and Management	64.530832639	268,360	Business and financial operations	80310	1	Financial Analysts	4	1
13-2051	2.C.1.b	Clerical	58.237444569	268,360	Business and financial operations	80310	1	Financial Analysts	4	1
13-2051	2.C.1.c	Economics and Accounting	85.067033297	268,360	Business and financial operations	80310	0	Financial Analysts	4	1
13-2051	2.C.1.d	Sales and Marketing	31.597468355	268,360	Business and financial operations	80310	2	Financial Analysts	4	1
13-2051	2.C.1.e	Customer and Personal Service	61.227445713	268,360	Business and financial operations	80310	2	Financial Analysts	4	1
13-2051	2.C.1.f	Personnel and Human Resources	33.126165377	268,360	Business and financial operations	80310	3	Financial Analysts	4	1
13-2051	2.C.10	Transportation	20.218803591	268,360	Business and financial operations	80310	3	Financial Analysts	4	1
13-2051	2.C.2.a	Production and Processing	18.400310806	268,360	Business and financial operations	80310	3	Financial Analysts	4	1
